,UUID,Substance
65,9c91f16e-03bb-4321-a04a-5d78e055cb81,"(±)-trans-1,2-Cyclohexanediamine"
66,9fc2eef1-c195-45df-aba5-662e211d05b1,"(±)-trans-cyclohexane-1,2-diamine hydrochloride"
67,97badb71-0942-4d4c-b2d0-fb69598437a6,"(±)-β,3,4-trihydroxyphenethylammonium [R-(R*,R*)]-hydrogen tartrate"
68,b96053f8-6708-4884-b5ac-9d07023cb9b1,"(1,1,3,3-tetramethyldisiloxane-1,3-diyl)dipropane-1,3-diyl dimethacrylate"
69,40640b8f-66b1-45a1-a3ae-f2f1bf912ac8,"(1,1'-bis(diphenylphosphino)ferrocene)dichloropalladium [(1,1'- BIS(DIPHENYLPHOSPHINO)FERROCENE); DICHLOROPALLADIUM]"
70,97da96db-ceb8-4925-9904-ce6b210aa544,"(1,2-dimethylpropyl)-5-methyl-pyrazole-4-carboxylic acid"
71,8863963b-5153-491f-8a41-6dafefe01ab9,"(1,2-dioxoethylene)bis(iminoethylene) bis[3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate]"
72,4abc64ff-3a57-41d5-bed9-80c862c9e64b,"(1,4,5,6-tetrahydro-4,6-dioxopyrimidin-2-yl)cyanamide"
73,5774746c-b3e1-46b0-99b1-ba4dcff35176,"(1,4'-Bipiperidine)-4'-carboxamide, 1'-(3-(p-fluorobenzoyl)propyl)-"
74,afd6301c-90ea-45cb-8cd7-c3b20f4e4d33,"(1,5-cyclooctadiene)(2,4-pentanedionato)rhodium(I) [RHODIUM, (1,5-CYCLOOCTADIENE)(2,4-PENTANEDIONATO)]"
75,08c14d1d-67f6-4aab-877d-568e9be0333e,(1-[2-[5-METHYL-3-(TRIFLUOROMETHYL)-1H-PYRAZOL-1-YL]ACETYL]-4-HETEROMONOCYCLECARBOTHIOAMIDE)
76,96f3631b-65c9-40fc-8f35-60ded5b66e90,"(10aS)-methyl 10a-methoxy-7-methyl-4,6,6a,7,8,9,10,10a-octahydroindolo[4,3-fg]quinoline-9-carboxylate"
77,2aceb774-0f4e-4b56-8df3-0f399451c15d,(10E)-oxacycloheptadec-10-en-2-one
78,81ac18a6-e896-4e43-ba13-eed180407f8c,(10R)-10-hydroxyoctadecanoic acid
79,0f370054-7278-4635-affa-774a4acb6236,"(11-oxo-6,11-dihydro-dibenzo[b,e]oxepin-2-yl)-acetic acid butyl ester"
80,bedb1212-7254-459e-83ff-74b5c78ced47,(1-3)PEPTIDE
81,50564b32-6056-472e-8651-5e3a3e8e7f4d,"(13S-cis)-13-ethyl-7,11,12,13,16,17-hexahydro-3-methoxy-6H-cyclopenta[a]phenantren-17-ol"
82,7c1a419b-66e0-47a1-914c-6d14e8b8d849,"(15α)-15-Hydroxy-androst-4-ene-3,17-dione"
83,98e2c02b-7dd7-433a-a071-5df153bc0731,"(15α)-3,17-Dioxoandrost-4-en-15-yl acetate"
84,a4265f1a-7119-4076-84bc-53638507ad60,"(15α)-3-Methoxy-17-oxoandrosta-3,5-dien-15-yl acetate"
85,ac2199bb-5e3c-487c-bec4-c59ed619c8ed,"(17alpha)-3-ethoxy-19-norpregna-3,5-dien-20-yn-17-ol"
86,a308b02f-60df-4d9f-9be4-265cd3320973,"(17ß)-3-Hydroxyestra-1,3,5(10)-trien-17-yl acetate"
87,ef50aa03-c2ea-4c4b-ba5a-8ea24ebd532a,(17α)-17-hydroxy-3-oxoandrost-4-ene-17-carbonitrile
88,bdac7534-e96a-4f96-8684-50b6d72a3bd2,(17β)-13-Ethyl-17-ethynyl-3-oxogon-4-en-17-yl acetate
